Criteria_ID,Category,Sub_Category,Question,Description,Area_Type,Max_Score,Active
C-01-1,บอร์ด ป้ายติดประกาศ,1.1,ข้อมูล 5ส บนบอร์ดเป็นปัจจุบัน,บอร์ดประกอบด้วย นโยบาย วัตถุประสงค์ คณะอนุกรรมการ คำขวัญ ข่าวสาร ภาพก่อน-หลัง ผลการตรวจ และแผนผังพื้นที่พร้อมผู้รับผิดชอบ,All,2,TRUE
C-01-2,บอร์ด ป้ายติดประกาศ,1.2,บอร์ดมีสภาพสมบูรณ์ไม่ชำรุด สะอาด ไม่มีฝุ่นสะสม,ไม่มีคราบสกปรกหรือหยากไย่,All,2,TRUE
C-02-1,ความรู้เบื้องต้นของพนักงานเกี่ยวกับ 5ส,2.1,พนักงานทุกคนมีความรู้ความเข้าใจเกี่ยวกับหลักการของ 5ส,พนักงานทุกคนในองค์กรรู้หลักการ 5ส,All,2,TRUE
C-02-2,ความรู้เบื้องต้นของพนักงานเกี่ยวกับ 5ส,2.2,พนักงานได้รับข่าวสาร มีส่วนร่วม และบอกคำขวัญ 5ส ได้,พนักงานได้รับข่าวสารการร่วมกิจกรรมอย่างทั่วถึง สามารถบอกคำขวัญได้,All,2,TRUE
C-02-3,ความรู้เบื้องต้นของพนักงานเกี่ยวกับ 5ส,2.3,พนักงานรับทราบพื้นที่รับผิดชอบและผลการตรวจรอบที่ผ่านมา,ทราบขอบเขตพื้นที่ความรับผิดชอบของตนเอง,All,2,TRUE
C-03-1,อุปกรณ์ดับเพลิง,3.1,ติดตั้งในตำแหน่งที่เหมาะสม ไม่มีสิ่งกีดขวางการเข้าถึง,ถังดับเพลิงแขวน/วางบนแท่น/พื้น ห้ามวางสิ่งของกีดขวาง รวมถึงตู้เก็บหัวฉีดสายดับเพลิง,All,2,TRUE
C-03-2,อุปกรณ์ดับเพลิง,3.2,มีป้ายบ่งชี้ประเภทถังดับเพลิงและวิธีใช้,ป้ายระบุประเภทและวิธีการใช้งาน,All,2,TRUE
C-03-3,อุปกรณ์ดับเพลิง,3.3,สะอาด ไม่มีฝุ่นสะสม,ไม่มีฝุ่นสะสมบนอุปกรณ์ดับเพลิง,All,2,TRUE
C-03-4,อุปกรณ์ดับเพลิง,3.4,ไม่ชำรุด พร้อมใช้งาน ตรวจสอบตามรอบที่กำหนด,ตรวจสอบโดย จป.วิชาชีพ/ผู้ที่ได้รับมอบหมายตามแผน,All,2,TRUE
C-04-1,เครื่องทำน้ำเย็น/น้ำร้อน/ตู้เย็น,4.1,ตัวเครื่องสะอาด ไม่มีฝุ่นเกาะและไม่มีคราบสกปรก,ตัวเครื่องต้องสะอาดทุกส่วน,All,2,TRUE
C-04-2,เครื่องทำน้ำเย็น/น้ำร้อน/ตู้เย็น,4.2,ตัวเครื่องและสายไฟพร้อมใช้งาน ไม่ชำรุด,สายไฟและตัวเครื่องอยู่ในสภาพสมบูรณ์,All,2,TRUE
C-04-3,เครื่องทำน้ำเย็น/น้ำร้อน/ตู้เย็น,4.3,สายไฟไม่เกะกะ บริเวณสะอาด ไม่มีน้ำหกบนพื้น,รอบเครื่องสะอาด สายไฟเป็นระเบียบ,All,2,TRUE
C-05-1,ตู้ยา,5.1,มีป้ายบ่งชี้ตู้ยาเห็นอย่างชัดเจน,ป้ายชัดเจน มองเห็นได้ง่าย,All,2,TRUE
C-05-2,ตู้ยา,5.2,แยกประเภทยา มีป้ายชื่อ สรรพคุณ วิธีใช้,แยกประเภท ติดป้ายชัดเจน สืบค้นได้สะดวก,All,2,TRUE
C-05-3,ตู้ยา,5.3,มีการตรวจสอบอายุและปริมาณยาอยู่เสมอ,ตรวจอายุยาและปริมาณสต็อกสม่ำเสมอ,All,2,TRUE
C-05-4,ตู้ยา,5.4,มี Check list (กรณียามีจำนวนมาก) และบันทึกเบิก-จ่าย,ต้องมี checklist บันทึกเบิก-จ่าย,All,2,TRUE
C-06-1,ห้องน้ำ/ห้องส้วม,6.1,มีป้ายบ่งชี้ห้องน้ำเห็นอย่างชัดเจน,ป้ายชื่อห้องน้ำมองเห็นได้ชัด,All,2,TRUE
C-06-2,ห้องน้ำ/ห้องส้วม,6.2,มีรองเท้าให้เปลี่ยนเข้าห้องน้ำ วางเป็นระเบียบ,รองเท้าวางเป็นระเบียบ,All,2,TRUE
C-06-3,ห้องน้ำ/ห้องส้วม,6.3,มีถังขยะฝาปิด/เหมาะสม ไม่ปล่อยให้ล้นถัง,ถังขยะฝาปิด ไม่ล้น,All,2,TRUE
C-06-4,ห้องน้ำ/ห้องส้วม,6.4,ดูแลรักษาความสะอาด ห้ามสูบบุหรี่ในห้องน้ำ,ห้องน้ำสะอาด ไม่มีกลิ่น ห้ามสูบบุหรี่,All,2,TRUE
C-06-5,ห้องน้ำ/ห้องส้วม,6.5,มีกระดาษ/ผ้าเช็ดมือ มีสบู่เหลวล้างมือ,มีอุปกรณ์ทำให้มือแห้งและสบู่เหลว,All,2,TRUE
C-06-6,ห้องน้ำ/ห้องส้วม,6.6,อุปกรณ์ทำความสะอาดวางในพื้นที่กำหนด ไม่ชำรุด,อุปกรณ์วางถูกที่ ไม่มีชำรุดโดยไม่แจ้ง,All,2,TRUE
C-06-7,ห้องน้ำ/ห้องส้วม,6.7,อุปกรณ์สุขภัณฑ์อื่นๆ มีสภาพสมบูรณ์ไม่ชำรุด,หากชำรุดต้องระบุสถานะชัดเจนและมีแผนซ่อม,All,2,TRUE
C-07-1,อุปกรณ์ทำความสะอาด,7.1,อุปกรณ์มีสภาพสมบูรณ์ไม่ชำรุด,สภาพดีพร้อมใช้งาน,All,2,TRUE
